iter	MultiClass
0	1.34687724811	1.31103029
2	1.277959871
3	1.247827115
4	1.220008589
5	1.194182636
6	1.170014025
7	1.147672183
8	1.127170449
9	1.105461347
10	1.085190142
11	1.0662219
12	1.048745091
13	1.032223509
14	1.017089701
15	1.002850387
16	0.9894354571
17	0.9761262571
18	0.96391236
19	0.9523724973
20	0.9410422475
21	0.9305266679
22	0.9203194858
23	0.9112433938
24	0.9025153601
25	0.8941162671
26	0.885716364
27	0.877683073
28	0.8704625307
29	0.8631702034
30	0.8568027283
31	0.8501400601
32	0.8441930219
33	0.8380967325
34	0.8327029277
35	0.8275779558
36	0.8226759777
37	0.8180094176
38	0.8135568952
39	0.8090568538
40	0.8047249066
41	0.8003112816
42	0.7946068765
43	0.7892044332
44	0.7843732092
45	0.77954033
46	0.7748828551
47	0.7703133523
48	0.7663640338
49	0.7623303571
50	0.7587218657
51	0.7544019956
52	0.7503006007
53	0.7465292657
54	0.7432873955
55	0.7403470889
56	0.7373411735
57	0.7344971115
58	0.7318252968
59	0.7286147196
60	0.7254604719
61	0.722429678
62	0.7204725776
63	0.7183398043
64	0.7156491951
65	0.7135903327
66	0.7116985127
67	0.7098980701
68	0.7080810512
69	0.7051475041
70	0.7023308424
71	0.6998264485
72	0.6973452655
73	0.6957477476
74	0.693496209
75	0.6910248994
76	0.6883638807
77	0.685969165
78	0.6841573371
79	0.6821985821
80	0.6802312973
81	0.6783805721
82	0.6767467043
83	0.6753411059
84	0.6736146673
85	0.6723855959
86	0.6704077869
87	0.6684596366
88	0.6666196324
89	0.6655292907
90	0.6642854408
91	0.6628031377
92	0.6613288525
93	0.6602349749
94	0.6588743911
95	0.6580794779
96	0.6565782976
97	0.6552563013
98	0.6544681456
99	0.653149136
83
